snapshot_date,contract_month,barchart_symbol,forward_price,source
2026-09-04,2026-09,ALU26,3439.25,Barchart COMEX Aluminum
2026-09-04,2026-10,ALV26,3462.25,Barchart COMEX Aluminum
2026-09-04,2026-11,ALX26,3473.25,Barchart COMEX Aluminum
2026-09-04,2026-12,ALZ26,3468.00,Barchart COMEX Aluminum
2026-09-04,2027-01,ALF27,3456.75,Barchart COMEX Aluminum
2026-09-04,2027-02,ALG27,3446.75,Barchart COMEX Aluminum
2026-09-04,2027-03,ALH27,3444.00,Barchart COMEX Aluminum
2026-09-04,2027-04,ALJ27,3436.25,Barchart COMEX Aluminum
2026-09-04,2027-05,ALK27,3427.25,Barchart COMEX Aluminum
2026-09-04,2027-06,ALM27,3427.00,Barchart COMEX Aluminum
2026-09-04,2027-07,ALN27,3441.50,Barchart COMEX Aluminum
2026-09-04,2027-08,ALQ27,3462.00,Barchart COMEX Aluminum
