contract_month,normal_gap_pct,benchmark_status
2026-09,0.032,synthetic_recent_history
2026-10,0.039,synthetic_recent_history
2026-11,0.041,synthetic_recent_history
2026-12,0.043,synthetic_recent_history
2027-01,0.046,synthetic_recent_history
2027-02,0.050,synthetic_recent_history
2027-03,0.054,synthetic_recent_history
2027-04,0.058,synthetic_recent_history
2027-05,0.062,synthetic_recent_history
2027-06,0.066,synthetic_recent_history
2027-07,0.069,synthetic_recent_history
2027-08,0.072,synthetic_recent_history
